Title,Rating,Year,Genre,Director
Eternal Sunshine of the Spotless Mind,8.3,2004,,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
Honoo 628,8.3,1985,,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
Rezaboa Doggusu,8.3,1992,,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
Jagten,8.3,2012,,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
Arabia no Rorensu,8.2,1962,,"David Lean (dir.), Peter O'Toole, Alec Guinness"
Shimin Kein,8.2,1941,,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
M - Eine Stadt sucht einen Mörder,8.2,1931,,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
Ikiru,8.2,1952,,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
Hokuhokusei ni shinro wo tore,8.2,1959,,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
Apâto no kagi kashimasu,8.2,1960,,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
Memai,8.2,1958,,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
Le fabuleux destin d'Amélie Poulain,8.2,2001,,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
Shinya no kokuhaku,8.2,1944,,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
Tokei Jikake no Orenji,8.2,1971,,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
Full Metal Jacket,8.2,1987,,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
Scarface,8.2,1983,,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
Incendies,8.2,2010,,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
Heat,8.2,1995,,"Michael Mann (dir.), Al Pacino, Robert De Niro"
Hamilton,8.2,2020,,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
Kâru jîsan no sora-tobu ie,8.2,2009,,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
Arabama monogatari,8.2,1962,,"Robert Mulligan (dir.), Gregory Peck, John Megna"
The Sting,8.2,1973,,"George Roy Hill (dir.), Paul Newman, Robert Redford"
Betsuri,8.2,2011,,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
Metoroporisu,8.2,1927,,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
